主編碼,屬性,詞目,音讀,文白屬性,部首
1,1,一,tsit8,4,一
2,1,一,it4,0,一
3,1,一刀兩斷,it4-to1-liong2-tuan7,0,
4,1,一下,tsit8-e7,0,
6,1,一月日,tsit8 gueh8-jit8/tsit8 geh8-lit8,0,
7,1,一日到暗,tsit8-jit8-kau3-am3/tsit8-lit8-kau3-am3,0,
9,1,一世人,tsit8-si3-lang5,0,
10,1,一半,tsit8-puann3,0,
11,1,一半个仔,tsit8-puann3-e5-a2,0,
12,1,一半日仔,tsit8-puann3-jit8-a2/tsit8-puann3-lit8-a2,0,
13,1,一四界,tsit8-si3-ke3/tsit8-si3-kue3,0,
14,1,一旦,it4-tan3,0,
15,1,一生,it4-sing1,0,
16,1,一目𥍉仔,tsit8-bak8-nih4-a2,0,
17,1,一甲子,tsit8 kah4-tsi2,0,
18,1,一百空一,tsit8-pah4 khong3-it4,0,
19,1,一來,it4--lai5,0,
20,1,一定,it4-ting7,0,
21,1,一直,it4-tit8,0,
22,1,一律,it4-lut8,0,
23,1,一致,it4-ti3,0,
24,1,一面,tsit8-bin7,0,
25,1,一垺屎,tsit8-pu5-sai2,0,
26,1,一屑仔,tsit8-sut4-a2,0,
27,1,一家伙仔,tsit8-ke1-hue2-a2/tsit8-ke1-he2-a2,0,
28,1,一般,it4-puann1,0,
31,1,一粒一,it4-liap8-it4,0,
33,1,一睏仔,tsit8-khun3-a2,0,
34,1,一概,it4-khai3,0,
35,1,一路,tsit8-loo7,0,
36,1,一寡,--tsit8-kua2,0,
37,1,一寡仔,tsit8-kua2-a2,0,
38,1,一對時,tsit8 tui3-si5,0,
39,1,一霎仔久,tsit8-tiap4-a2-ku2,0,
41,1,一點仔,tsit8-tiam2-a2,0,
42,1,一礐屎,tsit8-hak8-sai2,0,
43,1,一觸久仔,tsit8-tak4-ku2-a2,0,
45,1,乙,it4,0,乙
46,1,丁,ting1,0,一
47,1,七,tshit4,0,一
48,1,九,kau2,2,乙
49,1,九,kiu2,1,乙
50,1,了,liau2,0,亅
51,1,二,ji7/li7,0,二
52,1,人,jin5/lin5,0,人
53,1,人,lang5,4,人
54,1,入,jip8/lip8,0,入
55,1,八,pat4,1,八
56,1,八,peh4/pueh4,2,八
57,1,刀,to1,0,刀
58,1,刁,tiau1,0,刀
59,1,力,lat8,2,力
60,1,力,lik8,1,力
61,1,十,tsap8,2,十
62,1,十,sip8,1,十
63,1,卜,poh4,4,卜
64,1,卜,pok4,0,卜
65,1,又,iu7,0,又
66,1,十一哥,tsap8-it4-ko1,0,
67,1,了了,liau2-liau2,0,
68,1,了了,--liau2-liau2,0,
69,1,人人,lang5-lang5,0,
70,1,十二分,tsap8-ji7-hun1/tsap8-li7-hun1,0,
71,1,十二生相,tsap8-ji7 senn1-siunn3/tsap8-li7 sinn1-siunn3,0,
72,1,十二指腸,sip8-ji7-tsi2-tng5/sip8-li7-tsi2-tng5,0,
73,1,二九暝,Ji7-kau2-me5/Li7-kau2-mi5,0,
74,1,十八骰仔,sip8-pat4-tau5-a2,0,
75,1,十八變,tsap8-peh4-pian3/tsap8-pueh4-pian3,0,
76,1,七夕,tshit4-siah8,0,
77,1,了工,liau2-kang1,0,
78,1,人工,lang5-kang1,0,
79,1,人才,lang5-tsai5,0,
80,1,入土,jip8-thoo2/lip8-thoo2,0,
81,1,刁工,thiau1-kang1,0,
82,1,人中,jin5-tiong1/lin5-tiong1,0,
83,1,七孔,tshit4-khong2,0,
84,1,九孔,kau2-khang2,0,
85,1,二手,ji7-tshiu2/li7-tshiu2,0,
86,1,入木,jip8-bok8/lip8-bok8,0,
87,1,八仙,pat4-sian1,0,
88,1,刀仔,to1-a2,0,
89,1,八仙桌,pat4-sian1-toh4,0,
90,1,八仙綵,pat4-sian1-tshai2,0,
91,1,刁古董,tiau1-koo2-tong2,0,
92,1,了本,liau2-pun2,0,
93,1,人民,jin5-bin5/lin5-bin5,0,
94,1,人生,jin5-sing1/lin5-sing1,0,
95,1,刀石,to1-tsioh8,0,
96,1,十全,tsap8-tsng5,0,
97,1,十全,sip8-tsuan5,0,
98,1,八字,peh4-ji7/pueh4-li7,0,
99,1,七字仔,tshit4-ji7-a2/tshit4-li7-a2,0,
100,1,十字架,sip8-ji7-ke3/sip8-li7-ke3,0,
101,1,八字跤,pat4-ji7-kha1/pat4-li7-kha1,0,
102,1,十字路,sip8-ji7-loo7/sip8-li7-loo7,0,
